model name, concrete_15_2.0-4641.cdb
scale, 1.0
number of nodes, 4641
solver time (s), 49.3030
processing time (s), 19.7167
total time (s), 69.0197
time step (s), 10
output step size (s), 100
duration (s), 14400.0
boundary type, convection
Time(s),Conv(W/m2*K),T_input(C),T_avg(C)
100.0000,26.7459,134.9181, 131.1238
200.0000,26.8074,136.1486, 131.1420
300.0000,27.1211,142.4228, 131.1745
400.0000,27.3591,147.1819, 131.2330
500.0000,27.4587,149.1741, 131.3043
600.0000,27.5453,150.9056, 131.3811
700.0000,27.6040,152.0792, 131.4620
800.0000,27.5145,150.2909, 131.5388
900.0000,27.4571,149.1423, 131.6032
1000.0000,27.7501,155.0020, 131.6753
1100.0000,27.7708,155.4167, 131.7616
1200.0000,27.6641,153.2822, 131.8418
1300.0000,27.4925,149.8506, 131.9045
1400.0000,27.7793,155.5852, 131.9668
1500.0000,28.1722,163.4449, 132.0624
1600.0000,28.2232,164.4634, 132.1770
1700.0000,28.2491,164.9824, 132.2926
1800.0000,28.2846,165.6916, 132.4061
1900.0000,28.4091,168.1812, 132.5225
2000.0000,28.8462,176.9233, 132.6612
2100.0000,29.1890,183.7800, 132.8372
2200.0000,29.3807,187.6148, 133.0338
2300.0000,29.7299,194.5980, 133.2513
2400.0000,29.9491,198.9812, 133.4935
2500.0000,30.0735,201.4692, 133.7443
2600.0000,30.1854,203.7086, 134.0000
2700.0000,30.3340,206.6807, 134.2590
2800.0000,30.6211,212.4223, 134.5330
2900.0000,30.9152,218.3033, 134.8306
3000.0000,31.1137,222.2740, 135.1467
3100.0000,31.3172,226.3449, 135.4756
3200.0000,31.4624,229.2476, 135.8156
3300.0000,31.2681,225.3616, 136.1438
3400.0000,31.3285,226.5693, 136.4497
3500.0000,31.5283,230.5652, 136.7647
3600.0000,31.4942,229.8839, 137.0820
3700.0000,31.2613,225.2265, 137.3787
3800.0000,30.9672,219.3432, 137.6363
3900.0000,30.9136,218.2717, 137.8694
4000.0000,31.0166,220.3329, 138.0987
4100.0000,31.4537,229.0736, 138.3564
4200.0000,31.7926,235.8510, 138.6566
4300.0000,32.0459,240.9187, 138.9874
4400.0000,32.2294,244.5880, 139.3379
4500.0000,32.2559,245.1172, 139.6960
4600.0000,32.1550,243.1003, 140.0404
4700.0000,32.0474,240.9486, 140.3675
4800.0000,31.8797,237.5936, 140.6687
4900.0000,32.0172,240.3449, 140.9641
5000.0000,31.8473,236.9453, 141.2569
5100.0000,31.7162,234.3250, 141.5249
5200.0000,32.0023,240.0460, 141.7974
5300.0000,32.3313,246.6268, 142.1052
5400.0000,32.7353,254.7061, 142.4523
5500.0000,33.0722,261.4447, 142.8403
5600.0000,33.4505,269.0092, 143.2654
5700.0000,33.7168,274.3364, 143.7221
5800.0000,34.0819,281.6370, 144.2079
5900.0000,34.2147,284.2945, 144.7176
6000.0000,34.2038,284.0763, 145.2201
6100.0000,34.1122,282.2436, 145.7083
6200.0000,33.8322,276.6446, 146.1582
6300.0000,33.4515,269.0298, 146.5622
6400.0000,32.7821,255.6414, 146.8926
6500.0000,32.5086,250.1714, 147.1588
6600.0000,32.6943,253.8866, 147.4181
6700.0000,32.9419,258.8384, 147.7085
6800.0000,33.1189,262.3775, 148.0247
6900.0000,33.3527,267.0537, 148.3685
7000.0000,33.4498,268.9962, 148.7303
7100.0000,33.5272,270.5447, 149.1030
7200.0000,33.7004,274.0081, 149.4825
7300.0000,33.8907,277.8134, 149.8848
7400.0000,33.8110,276.2191, 150.2918
7500.0000,33.5837,271.6735, 150.6730
7600.0000,33.5597,271.1940, 151.0319
7700.0000,33.6348,272.6969, 151.3923
7800.0000,33.5696,271.3916, 151.7500
7900.0000,33.8388,276.7756, 152.1147
8000.0000,34.0966,281.9321, 152.5134
8100.0000,34.3250,286.5007, 152.9370
8200.0000,34.5010,290.0191, 153.3827
8300.0000,34.5357,290.7141, 153.8279
8400.0000,34.4007,288.0146, 154.2633
8500.0000,34.3243,286.4857, 154.6768
8600.0000,34.5022,290.0449, 155.0892
8700.0000,34.5750,291.5000, 155.5168
8800.0000,34.4893,289.7853, 155.9364
8900.0000,34.4574,289.1476, 156.3453
9000.0000,34.5427,290.8533, 156.7490
9100.0000,34.9333,298.6655, 157.1787
9200.0000,35.2738,305.4758, 157.6521
9300.0000,35.4658,309.3154, 158.1554
9400.0000,35.6257,312.5138, 158.6718
9500.0000,35.7546,315.0916, 159.2016
9600.0000,35.6672,313.3438, 159.7259
9700.0000,35.5442,310.8846, 160.2263
9800.0000,35.3296,306.5912, 160.6991
9900.0000,35.0668,301.3365, 161.1338
10000.0000,34.9141,298.2830, 161.5361
10100.0000,34.9977,299.9544, 161.9300
10200.0000,35.2830,305.6607, 162.3451
10300.0000,35.5780,311.5605, 162.7984
10400.0000,35.6449,312.8971, 163.2730
10500.0000,35.6731,313.4626, 163.7496
10600.0000,35.7790,315.5809, 164.2276
10700.0000,36.0783,321.5665, 164.7266
10800.0000,36.1860,323.7204, 165.2509
10900.0000,35.9880,319.7609, 165.7631
11000.0000,35.7983,315.9652, 166.2414
11100.0000,35.7034,314.0677, 166.6969
11200.0000,35.4560,309.1200, 167.1262
11300.0000,35.3120,306.2405, 167.5258
11400.0000,35.4615,309.2293, 167.9237
11500.0000,35.5448,310.8955, 168.3396
11600.0000,35.3330,306.6604, 168.7474
11700.0000,35.1913,303.8269, 169.1306
11800.0000,35.0067,300.1344, 169.4960
11900.0000,34.6188,292.3766, 169.8262
12000.0000,34.5416,290.8311, 170.1236
12100.0000,34.8949,297.8971, 170.4435
12200.0000,34.8875,297.7506, 170.7928
12300.0000,34.5735,291.4700, 171.1243
12400.0000,34.4049,288.0988, 171.4255
12500.0000,34.4462,288.9242, 171.7211
12600.0000,34.4375,288.7496, 172.0228
12700.0000,34.4146,288.2919, 172.3257
12800.0000,34.3217,286.4344, 172.6248
12900.0000,34.1312,282.6235, 172.9098
13000.0000,33.9006,278.0125, 173.1732
13100.0000,33.6881,273.7623, 173.4104
13200.0000,33.7143,274.2851, 173.6416
13300.0000,33.7821,275.6429, 173.8816
13400.0000,33.9838,279.6756, 174.1410
13500.0000,34.2316,284.6320, 174.4328
13600.0000,34.2675,285.3497, 174.7441
13700.0000,34.3237,286.4737, 175.0604
13800.0000,34.5143,290.2850, 175.3897
13900.0000,34.7334,294.6688, 175.7446
14000.0000,34.6470,292.9404, 176.1086
14100.0000,34.3071,286.1414, 176.4428
14200.0000,34.1040,282.0793, 176.7401
14300.0000,34.0296,280.5919, 177.0189
14400.0000,33.9914,279.8277, 177.2916
