model name, concrete_15_2.0-4641B.cdb
scale, 1.0
number of nodes, 4641
solver time (s), 44.0565
processing time (s), 14.1837
total time (s), 58.2402
time step (s), 10
output step size (s), 100
duration (s), 14400.0
boundary type, convection
Time(s),Conv(W/m2*K),T_input(C),T_avg(C)
100.0000,26.7459,134.9181, 131.1202
200.0000,26.8074,136.1486, 131.1324
300.0000,27.1211,142.4228, 131.1551
400.0000,27.3591,147.1819, 131.1974
500.0000,27.4587,149.1741, 131.2543
600.0000,27.5453,150.9056, 131.3205
700.0000,27.6040,152.0792, 131.3942
800.0000,27.5145,150.2909, 131.4701
900.0000,27.4571,149.1423, 131.5409
1000.0000,27.7501,155.0020, 131.6160
1100.0000,27.7708,155.4167, 131.7028
1200.0000,27.6641,153.2822, 131.7902
1300.0000,27.4925,149.8506, 131.8690
1400.0000,27.7793,155.5852, 131.9455
1500.0000,28.1722,163.4449, 132.0421
1600.0000,28.2232,164.4634, 132.1569
1700.0000,28.2491,164.9824, 132.2789
1800.0000,28.2846,165.6916, 132.4040
1900.0000,28.4091,168.1812, 132.5339
2000.0000,28.8462,176.9233, 132.6798
2100.0000,29.1890,183.7800, 132.8549
2200.0000,29.3807,187.6148, 133.0532
2300.0000,29.7299,194.5980, 133.2738
2400.0000,29.9491,198.9812, 133.5203
2500.0000,30.0735,201.4692, 133.7839
2600.0000,30.1854,203.7086, 134.0601
2700.0000,30.3340,206.6807, 134.3465
2800.0000,30.6211,212.4223, 134.6489
2900.0000,30.9152,218.3033, 134.9743
3000.0000,31.1137,222.2740, 135.3216
3100.0000,31.3172,226.3449, 135.6876
3200.0000,31.4624,229.2476, 136.0708
3300.0000,31.2681,225.3616, 136.4575
3400.0000,31.3285,226.5693, 136.8357
3500.0000,31.5283,230.5652, 137.2210
3600.0000,31.4942,229.8839, 137.6131
3700.0000,31.2613,225.2265, 137.9976
3800.0000,30.9672,219.3432, 138.3591
3900.0000,30.9136,218.2717, 138.7004
4000.0000,31.0166,220.3329, 139.0337
4100.0000,31.4537,229.0736, 139.3804
4200.0000,31.7926,235.8510, 139.7564
4300.0000,32.0459,240.9187, 140.1600
4400.0000,32.2294,244.5880, 140.5858
4500.0000,32.2559,245.1172, 141.0265
4600.0000,32.1550,243.1003, 141.4671
4700.0000,32.0474,240.9486, 141.9007
4800.0000,31.8797,237.5936, 142.3196
4900.0000,32.0172,240.3449, 142.7313
5000.0000,31.8473,236.9453, 143.1411
5100.0000,31.7162,234.3250, 143.5348
5200.0000,32.0023,240.0460, 143.9258
5300.0000,32.3313,246.6268, 144.3371
5400.0000,32.7353,254.7061, 144.7771
5500.0000,33.0722,261.4447, 145.2513
5600.0000,33.4505,269.0092, 145.7600
5700.0000,33.7168,274.3364, 146.3021
5800.0000,34.0819,281.6370, 146.8757
5900.0000,34.2147,284.2945, 147.4792
6000.0000,34.2038,284.0763, 148.0927
6100.0000,34.1122,282.2436, 148.7067
6200.0000,33.8322,276.6446, 149.3032
6300.0000,33.4515,269.0298, 149.8707
6400.0000,32.7821,255.6414, 150.3879
6500.0000,32.5086,250.1714, 150.8505
6600.0000,32.6943,253.8866, 151.2898
6700.0000,32.9419,258.8384, 151.7365
6800.0000,33.1189,262.3775, 152.1965
6900.0000,33.3527,267.0537, 152.6743
7000.0000,33.4498,268.9962, 153.1674
7100.0000,33.5272,270.5447, 153.6719
7200.0000,33.7004,274.0081, 154.1843
7300.0000,33.8907,277.8134, 154.7141
7400.0000,33.8110,276.2191, 155.2536
7500.0000,33.5837,271.6735, 155.7822
7600.0000,33.5597,271.1940, 156.2952
7700.0000,33.6348,272.6969, 156.8052
7800.0000,33.5696,271.3916, 157.3125
7900.0000,33.8388,276.7756, 157.8214
8000.0000,34.0966,281.9321, 158.3513
8100.0000,34.3250,286.5007, 158.9020
8200.0000,34.5010,290.0191, 159.4743
8300.0000,34.5357,290.7141, 160.0597
8400.0000,34.4007,288.0146, 160.6441
8500.0000,34.3243,286.4857, 161.2100
8600.0000,34.5022,290.0449, 161.7705
8700.0000,34.5750,291.5000, 162.3401
8800.0000,34.4893,289.7853, 162.9075
8900.0000,34.4574,289.1476, 163.4685
9000.0000,34.5427,290.8533, 164.0250
9100.0000,34.9333,298.6655, 164.5958
9200.0000,35.2738,305.4758, 165.1981
9300.0000,35.4658,309.3154, 165.8290
9400.0000,35.6257,312.5138, 166.4784
9500.0000,35.7546,315.0916, 167.1451
9600.0000,35.6672,313.3438, 167.8173
9700.0000,35.5442,310.8846, 168.4796
9800.0000,35.3296,306.5912, 169.1254
9900.0000,35.0668,301.3365, 169.7445
10000.0000,34.9141,298.2830, 170.3361
10100.0000,34.9977,299.9544, 170.9131
10200.0000,35.2830,305.6607, 171.4966
10300.0000,35.5780,311.5605, 172.1033
10400.0000,35.6449,312.8971, 172.7293
10500.0000,35.6731,313.4626, 173.3622
10600.0000,35.7790,315.5809, 173.9993
10700.0000,36.0783,321.5665, 174.6514
10800.0000,36.1860,323.7204, 175.3254
10900.0000,35.9880,319.7609, 176.0001
11000.0000,35.7983,315.9652, 176.6560
11100.0000,35.7034,314.0677, 177.2942
11200.0000,35.4560,309.1200, 177.9119
11300.0000,35.3120,306.2405, 178.5040
11400.0000,35.4615,309.2293, 179.0854
11500.0000,35.5448,310.8955, 179.6727
11600.0000,35.3330,306.6604, 180.2549
11700.0000,35.1913,303.8269, 180.8184
11800.0000,35.0067,300.1344, 181.3647
11900.0000,34.6188,292.3766, 181.8826
12000.0000,34.5416,290.8311, 182.3686
12100.0000,34.8949,297.8971, 182.8550
12200.0000,34.8875,297.7506, 183.3562
12300.0000,34.5735,291.4700, 183.8475
12400.0000,34.4049,288.0988, 184.3147
12500.0000,34.4462,288.9242, 184.7693
12600.0000,34.4375,288.7496, 185.2212
12700.0000,34.4146,288.2919, 185.6695
12800.0000,34.3217,286.4344, 186.1118
12900.0000,34.1312,282.6235, 186.5414
13000.0000,33.9006,278.0125, 186.9518
13100.0000,33.6881,273.7623, 187.3378
13200.0000,33.7143,274.2851, 187.7093
13300.0000,33.7821,275.6429, 188.0781
13400.0000,33.9838,279.6756, 188.4534
13500.0000,34.2316,284.6320, 188.8471
13600.0000,34.2675,285.3497, 189.2562
13700.0000,34.3237,286.4737, 189.6713
13800.0000,34.5143,290.2850, 190.0957
13900.0000,34.7334,294.6688, 190.5384
14000.0000,34.6470,292.9404, 190.9926
14100.0000,34.3071,286.1414, 191.4331
14200.0000,34.1040,282.0793, 191.8477
14300.0000,34.0296,280.5919, 192.2434
14400.0000,33.9914,279.8277, 192.6282
