model name, concrete_15_0.4-55020.cdb
scale, 1.0
number of nodes, 250935
solver time (s), 4085.8115
processing time (s), 81.5628
total time (s), 4167.3744
time step (s), 10
output step size (s), 100
duration (s), 14400.0
boundary type, convection
Time(s),Conv(W/m2*K),T_input(C),T_avg(C),T_inner(C),T_outer(C)
100.0000,26.7459,134.9181, 131.1233, 131.2383, 131.1157
200.0000,26.8074,136.1486, 131.1408, 131.3957, 131.1157
300.0000,27.1211,142.4228, 131.1722, 131.7019, 131.1157
400.0000,27.3591,147.1819, 131.2289, 132.1723, 131.1158
500.0000,27.4587,149.1741, 131.2988, 132.6009, 131.1160
600.0000,27.5453,150.9056, 131.3744, 132.9847, 131.1165
700.0000,27.6040,152.0792, 131.4543, 133.3410, 131.1178
800.0000,27.5145,150.2909, 131.5307, 133.5735, 131.1203
900.0000,27.4571,149.1423, 131.5952, 133.6796, 131.1246
1000.0000,27.7501,155.0020, 131.6664, 133.9855, 131.1313
1100.0000,27.7708,155.4167, 131.7518, 134.3356, 131.1407
1200.0000,27.6641,153.2822, 131.8318, 134.5205, 131.1530
1300.0000,27.4925,149.8506, 131.8950, 134.5190, 131.1684
1400.0000,27.7793,155.5852, 131.9571, 134.6886, 131.1869
1500.0000,28.1722,163.4449, 132.0508, 135.2268, 131.2084
1600.0000,28.2232,164.4634, 132.1639, 135.7271, 131.2329
1700.0000,28.2491,164.9824, 132.2786, 136.1174, 131.2602
1800.0000,28.2846,165.6916, 132.3914, 136.4420, 131.2903
1900.0000,28.4091,168.1812, 132.5071, 136.8007, 131.3232
2000.0000,28.8462,176.9233, 132.6439, 137.4281, 131.3590
2100.0000,29.1890,183.7800, 132.8172, 138.2909, 131.3981
2200.0000,29.3807,187.6148, 133.0114, 139.1187, 131.4407
2300.0000,29.7299,194.5980, 133.2262, 140.0465, 131.4869
2400.0000,29.9491,198.9812, 133.4656, 141.0332, 131.5372
2500.0000,30.0735,201.4692, 133.7142, 141.9078, 131.5920
2600.0000,30.1854,203.7086, 133.9681, 142.7237, 131.6520
2700.0000,30.3340,206.6807, 134.2254, 143.5015, 131.7181
2800.0000,30.6211,212.4223, 134.4973, 144.4087, 131.7909
2900.0000,30.9152,218.3033, 134.7923, 145.4463, 131.8712
3000.0000,31.1137,222.2740, 135.1059, 146.4913, 131.9594
3100.0000,31.3172,226.3449, 135.4324, 147.5259, 132.0558
3200.0000,31.4624,229.2476, 135.7702, 148.5382, 132.1608
3300.0000,31.2681,225.3616, 136.0976, 149.2269, 132.2747
3400.0000,31.3285,226.5693, 136.4034, 149.7655, 132.3978
3500.0000,31.5283,230.5652, 136.7172, 150.5042, 132.5305
3600.0000,31.4942,229.8839, 137.0336, 151.1508, 132.6730
3700.0000,31.2613,225.2265, 137.3307, 151.5083, 132.8252
3800.0000,30.9672,219.3432, 137.5900, 151.5277, 132.9868
3900.0000,30.9136,218.2717, 137.8246, 151.5474, 133.1573
4000.0000,31.0166,220.3329, 138.0545, 151.7108, 133.3363
4100.0000,31.4537,229.0736, 138.3109, 152.3115, 133.5231
4200.0000,31.7926,235.8510, 138.6087, 153.2063, 133.7165
4300.0000,32.0459,240.9187, 138.9370, 154.1812, 133.9154
4400.0000,32.2294,244.5880, 139.2851, 155.1458, 134.1190
4500.0000,32.2559,245.1172, 139.6415, 155.9921, 134.3265
4600.0000,32.1550,243.1003, 139.9854, 156.5689, 134.5381
4700.0000,32.0474,240.9486, 140.3127, 156.9873, 134.7539
4800.0000,31.8797,237.5936, 140.6149, 157.1804, 134.9747
4900.0000,32.0172,240.3449, 140.9104, 157.5222, 135.2008
5000.0000,31.8473,236.9453, 141.2036, 157.7892, 135.4325
5100.0000,31.7162,234.3250, 141.4729, 157.8446, 135.6697
5200.0000,32.0023,240.0460, 141.7452, 158.1845, 135.9119
5300.0000,32.3313,246.6268, 142.0514, 158.8959, 136.1585
5400.0000,32.7353,254.7061, 142.3958, 159.8757, 136.4090
5500.0000,33.0722,261.4447, 142.7807, 161.0432, 136.6626
5600.0000,33.4505,269.0092, 143.2022, 162.3570, 136.9189
5700.0000,33.7168,274.3364, 143.6555, 163.7115, 137.1778
5800.0000,34.0819,281.6370, 144.1376, 165.1641, 137.4396
5900.0000,34.2147,284.2945, 144.6440, 166.5646, 137.7052
6000.0000,34.2038,284.0763, 145.1448, 167.6509, 137.9756
6100.0000,34.1122,282.2436, 145.6320, 168.5196, 138.2522
6200.0000,33.8322,276.6446, 146.0829, 168.9516, 138.5361
6300.0000,33.4515,269.0298, 146.4891, 169.0447, 138.8284
6400.0000,32.7821,255.6414, 146.8238, 168.5250, 139.1298
6500.0000,32.5086,250.1714, 147.0945, 167.8625, 139.4404
6600.0000,32.6943,253.8866, 147.3560, 167.6410, 139.7599
6700.0000,32.9419,258.8384, 147.6465, 167.8954, 140.0869
6800.0000,33.1189,262.3775, 147.9621, 168.3216, 140.4198
6900.0000,33.3527,267.0537, 148.3046, 168.9498, 140.7562
